Hotel URL,Review Text
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Claudio Italy Superior Twin Room 3 nights · March 2026 Solo traveller Reviewed: 23 April 2026 Very good Scored 8.0 8.0 the nearest to the airport with 24h shuttle service. good for late night arrival. Hotel response: Dear Valued Guest,  Thank you for your kind words... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Kerry United Kingdom Superior Twin Room 1 night · April 2026 Group Reviewed: 23 April 2026 Reminded me of a premier inn in uk but with nice weather and pool Scored 8.0 8.0 Clean and comfortable Hotel response: Dear Valued Guest,  Thank you for your kind feedback. We... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Salwa Canada Standard Twin Room with Sofa 1 night · March 2026 Couple Reviewed: 22 April 2026 Good but expensive for what’s provided Scored 8.0 8.0 It is within the airport It is a bit pricey Items in the buffet will be gone quickly, so food does not really worth the value Hotel response: Dear Valued Guest,  Thank you for your feedback regarding... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Anne Ireland Superior Double Room - Pool Side 1 night · April 2026 Family Reviewed: 18 April 2026 Very good Scored 8.0 8.0 Loved the promo to the airport it was a really handy spot to stay for the night when we were flying the next morning. Rooms were nice and clean and very comfortable. Didn't really dislike anything about this hotel Hotel response: Dear Valued Guest,  Thank you for your positive feedback... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Alexandre United States Superior Twin Room 1 night · March 2026 Solo traveller Reviewed: 17 April 2026 Very nice and clean hotel facility. Disappointing breakfast with multiple options. Scored 7.0 7.0 Room and facilities were very clean and well-maintained. Security was very good with working dog patrols and security gate access. Bathroom/shower was clean with good quality towels. Breakfast was a great disappointment albeit with a good variety of options. Coffee machine was broken and a coffee pot was brought out to provide no options for coffee. The eggs-to-order grill was unattended. After 10 minutes I asked the restaurant attendant for assistance and it took another five minutes for the cook to arrive, by which time so many others had lined up to order I had to wait longer (having previously been first in line), and was provided an overcooked plane egg omelet despite ordering a vegetarian omelet with all the vegetables available (and the cook even asked to confirm “omelet with everything but no meat”). What was provided as orange juice was not orange juice but a sweetened orange-flavored drink made from a powder mix. Disappointing. When I mentioned this upon checkout, I was assured the breakfast — which I did not eat — would not be charged and I would be provided a free breakfast upon my return visit days later… which I was not provided. Some of the staff was very courteous while others were unhelpful and seemed annoyed with having to interact with guests. The hotel is located on an extremely busy multi-lane road and intersection by the airport property but 1.6 km from terminals 2 and 3 that precludes walking safely. There was nothing in the neighborhood worth walking to or to see. Hotel response: Dear Valued Guest,  Thank you for sharing your feedback... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Mark Australia Standard Twin Room with Sofa 1 night · April 2026 Family Reviewed: 15 April 2026 Very good Scored 8.0 8.0 Perfect for us with a 15 hour lay over.understanding re early check out. Simple but what was required. The Italian restaurant by the pool was a highlight. Hotel response: Dear Valued Guest,  Thank you for your positive feedback... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Marco United Kingdom Superior Twin Room 1 night · April 2026 Couple Reviewed: 10 April 2026 Superb Scored 9.0 9.0 Loved how easy the check-in process was, and the facilities were solid. Great location, and the free shuttle every 30 minutes makes it an ideal choice for an early flight. Hotel response: Dear Valued Guest,  Thank you for your kind words... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Miguel Saudi Arabia Standard Double Room with Sofa Bed 2 nights · April 2026 Solo traveller Reviewed: 9 April 2026 Very good Scored 8.0 8.0 Quiet Fruit at breakfast Hotel response: Dear Valued Guest,  Thank you for your positive feedback.... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"De France Superior Double Room 1 night · February 2026 Solo traveller Reviewed: 1 April 2026 Good Scored 7.0 7.0 Very close to airport with a shuttle every 30 min. There is a small gym. Reception can be improved Hotel response: Dear Valued Guest,  Thank you for your feedback regarding... Continue reading Helpful Not helpful"
https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html,"Ron United States Superior Double Room 1 night · February 2026 Group Reviewed: 26 March 2026 Very comfortable and convenient, Scored 9.0 9.0 Friendly and helpful staff, a very extensive breakfast, shuttle service to airport. . Hotel response: Dear Valued Guest,  Thank you for your positive feedback... Continue reading Helpful Not helpful"
